term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,1.5962176908433363,0.07042399761410259,22.665820528820557,1.5208437776523883e-8,CH,28,440
r,1.5931603927897915,0.06874444797518846,23.175113623209278,1.2762151136900417e-8,CH,28,330
r,0.31022651849601707,0.04993132364930738,6.21306418141231,4.3962887226538775e-4,CS,13,0
r,0.4595944605015733,0.04359647051712157,10.542010741926402,4.283303972807414e-5,CS,13,11
r,0.44231995611782593,0.03364781295072285,13.145578191533655,1.1959084472522146e-5,CS,13,22
r,0.45107658583757354,0.03147498287633365,14.331273431025199,7.223646895345917e-6,CS,13,33
r,0.4575022574253221,0.02886368259157,15.85044652475985,4.000745753574295e-6,CS,13,55
r,0.4352030058928116,0.024903727365289948,17.4754164109339,2.251916738310486e-6,CS,13,110
r,0.46299393095415914,0.022108366577483912,20.94202343404653,7.721443527369637e-7,CS,13,220
r,0.48838975727810513,0.040565818412625826,12.039440504079593,1.992520183339261e-5,CS,13,440
r,0.48406405109338874,0.02285350783318,21.181170725598523,7.21865395338948e-7,CS,13,330
r,0.374051639250133,0.05333577840450335,7.013146717636549,4.191931928432411e-4,CS,16,0
r,0.6271030923091335,0.06029876023815346,10.39993342868665,1.416002468855315e-4,CS,16,11
r,0.5550964692570556,0.072126918238534607,7.69610684628543,5.907865048081963e-4,CS,16,22
r,0.5451772691071548,0.056989002404358044,9.566359229082842,2.1136018935759076e-4,CS,16,33
r,0.47763757350584024,0.0927784369789977,5.148152836568731,0.0036204889632688417,CS,16,55
r,0.5456252111012517,0.06768209948961579,8.061588148354721,4.754896485121514e-4,CS,16,110
r,0.5306075585958998,0.12017050944115462,4.415455680960801,0.006921246280994484,CS,16,220
r,0.515117068436053,0.07099037700746502,7.2561534414993405,7.766429720233146e-4,CS,16,440
r,0.509332900270921,0.10048998780472741,5.068494000224768,0.0038720040656404463,CS,16,330
r,0.3902334951986817,0.0769948695067513,5.068305170183632,0.0022918140867072946,CS,19,0
