"","X","unique_ID","unique_ID","species","temperature","replicate","start_time","cell_count","volume"
"187",187,"BB_10_1","BB_10_1","BB",10,1,2016-10-04 14:44:12,35723,979.69
"188",188,"BB_10_2","BB_10_2","BB",10,2,2016-10-04 14:46:22,43500,949.82
"189",189,"BB_10_3","BB_10_3","BB",10,3,2016-10-04 14:48:32,74039,939.25
"190",190,"BB_10_4","BB_10_4","BB",10,4,2016-10-04 14:51:28,47954,893.31
"191",191,"BB_10_5","BB_10_5","BB",10,5,2016-10-04 14:53:49,38143,824.36
"192",192,"BB_30_1","BB_30_1","BB",30,1,2016-10-04 14:30:35,38153,543.19
"193",193,"BB_30_2","BB_30_2","BB",30,2,2016-10-04 14:32:10,32820,539.95
"194",194,"BB_30_3","BB_30_3","BB",30,3,2016-10-04 14:33:59,106511,481.37
"195",195,"BB_30_4","BB_30_4","BB",30,4,2016-10-04 14:37:46,50408,942.66
"196",196,"BB_30_5","BB_30_5","BB",30,5,2016-10-04 14:40:41,25743,644.44
"197",197,"CH_10_1","CH_10_1","CH",10,1,2016-10-04 14:18:28,82849,382.19
"198",198,"CH_10_2","CH_10_2","CH",10,2,2016-10-04 14:22:11,111537,302.74
"199",199,"CH_10_4","CH_10_4","CH",10,4,2016-10-04 14:25:01,88752,312.46
"200",200,"CH_10_5","CH_10_5","CH",10,5,2016-10-04 14:27:21,96524,295.8
"201",201,"CH_30_1","CH_30_1","CH",30,1,2016-10-04 14:09:43,46495,658.08
"202",202,"CH_30_2","CH_30_2","CH",30,2,2016-10-04 14:11:23,44563,580.89
"203",203,"CH_30_3","CH_30_3","CH",30,3,2016-10-04 14:13:07,46306,641.65
"204",204,"CH_30_4","CH_30_4","CH",30,4,2016-10-04 14:15:04,43558,575.35
"205",205,"CH_30_5","CH_30_5","CH",30,5,2016-10-04 14:16:44,46025,560.96
"206",206,"CO_NT_1","CO_NA_1","CO",NA,1,2016-10-04 14:57:58,113,170.04
"207",207,"CO_NT_3","CO_NA_3","CO",NA,3,2016-10-04 14:56:16,1096,523.93
"208",208,"TT_10_1","TT_10_1","TT",10,1,2016-10-04 13:56:53,43633,1030.14
"209",209,"TT_10_2","TT_10_2","TT",10,2,2016-10-04 13:58:53,44835,1082.01
"210",210,"TT_10_3","TT_10_3","TT",10,3,2016-10-04 14:01:22,34645,1110.85
"211",211,"TT_10_4","TT_10_4","TT",10,4,2016-10-04 14:04:10,57290,1096.89
"212",212,"TT_10_5","TT_10_5","TT",10,5,2016-10-04 14:05:49,54208,1115.58
"213",213,"TT_30_1","TT_30_1","TT",30,1,NA,79799,768.91
"214",214,"TT_30_2","TT_30_2","TT",30,2,2016-10-04 13:48:27,30740,700.54
"215",215,"TT_30_3","TT_30_3","TT",30,3,2016-10-04 13:51:31,38436,693.17
"216",216,"TT_30_4","TT_30_4","TT",30,4,2016-10-04 13:53:10,18860,650.69
"217",217,"TT_30_5","TT_30_5","TT",30,5,2016-10-04 13:55:05,10280,664.46
"218",218,"BB_10_1","BB_10_1","BB",10,1,2016-10-07 10:23:04,14664,966.35
"219",219,"BB_10_2","BB_10_2","BB",10,2,2016-10-07 10:31:48,20394,935.8
"220",220,"BB_10_3","BB_10_3","BB",10,3,2016-10-07 10:40:59,26976,902.14
"221",221,"BB_10_4","BB_10_4","BB",10,4,2016-10-07 13:20:03,18568,827.37
"222",222,"BB_10_5","BB_10_5","BB",10,5,2016-10-07 13:31:13,23168,875.99
"223",223,"BB_30_1","BB_30_1","BB",30,1,2016-10-07 14:04:52,18864,740.17
"224",224,"BB_30_2","BB_30_2","BB",30,2,2016-10-07 14:19:12,18658,835.24
"225",225,"BB_30_3","BB_30_3","BB",30,3,2016-10-07 14:21:15,13115,853.74
"226",226,"BB_30_4","BB_30_4","BB",30,4,2016-10-07 14:23:33,26302,771.37
"227",227,"BB_30_5","BB_30_5","BB",30,5,2016-10-07 14:25:38,24691,800.67
"228",228,"CH_10_1","CH_10_1","CH",10,1,2016-10-07 10:28:37,45402,450.33
"229",229,"CH_10_2","CH_10_2","CH",10,2,2016-10-07 10:38:30,58982,406.86
"230",230,"CH_10_3","CH_10_3","CH",10,3,2016-10-07 10:47:54,35402,354.96
"231",231,"CH_10_4","CH_10_4","CH",10,4,2016-10-07 10:50:07,65803,398.42
"232",232,"CH_10_5","CH_10_5","CH",10,5,2016-10-07 10:52:04,59102,411.54
"233",233,"CH_30_1","CH_30_1","CH",30,1,2016-10-07 13:47:29,42551,446.35
"234",234,"CH_30_2","CH_30_2","CH",30,2,2016-10-07 13:51:09,41052,432.53
"235",235,"CH_30_3","CH_30_3","CH",30,3,2016-10-07 13:54:36,53035,423.33
"236",236,"CH_30_4","CH_30_4","CH",30,4,2016-10-07 13:57:13,43674,420.72
"237",237,"CH_30_5","CH_30_5","CH",30,5,2016-10-07 13:59:39,50895,413.96
"238",238,"CO_NT_1","CO_NA_1","CO",NA,1,2016-10-07 13:37:19,76,202.32
"239",239,"CO_NT_3","CO_NA_3","CO",NA,3,2016-10-07 14:45:00,1039,1330.39
"240",240,"TT_10_1","TT_10_1","TT",10,1,2016-10-07 10:26:04,16073,1150.35
"241",241,"TT_10_2","TT_10_2","TT",10,2,2016-10-07 10:34:10,21084,1140.25
"242",242,"TT_10_3","TT_10_3","TT",10,3,2016-10-07 10:43:13,17655,1144.1
"243",243,"TT_10_4","TT_10_4","TT",10,4,2016-10-07 10:54:45,16986,1045.65
"244",244,"TT_10_5","TT_10_5","TT",10,5,2016-10-07 10:56:33,20776,1148.32
"245",245,"TT_30_1","TT_30_1","TT",30,1,2016-10-07 14:33:45,25428,786.01
"246",246,"TT_30_2","TT_30_2","TT",30,2,2016-10-07 14:30:59,19692,872.61
"247",247,"TT_30_3","TT_30_3","TT",30,3,2016-10-07 14:37:08,20785,877.24
"248",248,"TT_30_4","TT_30_4","TT",30,4,2016-10-07 14:39:45,27042,833.12
"249",249,"TT_30_5","TT_30_5","TT",30,5,2016-10-07 14:42:27,25025,838.74
"250",250,"BB_10_1","BB_10_1","BB",10,1,2016-10-11 14:06:22,26648,1051.12
"251",251,"BB_10_2","BB_10_2","BB",10,2,2016-10-11 14:08:49,34483,996.72
"252",252,"BB_10_3","BB_10_3","BB",10,3,2016-10-11 14:11:18,33622,964.66
"253",253,"BB_10_4","BB_10_4","BB",10,4,2016-10-11 14:14:00,34944,1027.37
"254",254,"BB_10_5","BB_10_5","BB",10,5,2016-10-11 14:16:27,36716,932.23
"255",255,"BB_30_1","BB_30_1","BB",30,1,2016-10-11 15:04:27,31984,649.99
"256",256,"BB_30_2","BB_30_2","BB",30,2,2016-10-11 15:06:57,34239,665.32
"257",257,"BB_30_3","BB_30_3","BB",30,3,2016-10-11 15:09:27,22813,661.5
"258",258,"BB_30_4","BB_30_4","BB",30,4,2016-10-11 15:11:44,45503,637.16
"259",259,"BB_30_5","BB_30_5","BB",30,5,2016-10-11 15:14:05,37298,634.08
"260",260,"CH_10_1","CH_10_1","CH",10,1,2016-10-11 13:40:20,80733,439
"261",261,"CH_10_2","CH_10_2","CH",10,2,2016-10-11 13:42:48,92458,472.21
"262",262,"CH_10_3","CH_10_3","CH",10,3,2016-10-11 13:45:10,74618,439.48
"263",263,"CH_10_4","CH_10_4","CH",10,4,2016-10-11 13:47:36,81778,445.64
"264",264,"CH_10_5","CH_10_5","CH",10,5,2016-10-11 13:49:47,78749,434.42
"265",265,"CH_30_1","CH_30_1","CH",30,1,2016-10-11 14:24:12,53388,734.94
"266",266,"CH_30_2","CH_30_2","CH",30,2,2016-10-11 14:29:48,100189,628.31
"267",267,"CH_30_3","CH_30_3","CH",30,3,2016-10-11 14:46:57,64014,630.92
"268",268,"CH_30_4","CH_30_4","CH",30,4,2016-10-11 14:44:21,47431,626.32
"269",269,"CH_30_5","CH_30_5","CH",30,5,2016-10-11 14:49:17,58437,487.31
"270",270,"CO_NT_1","CO_NA_1","CO",NA,1,2016-10-11 14:21:31,114,167.21
"271",271,"CO_NT_3","CO_NA_3","CO",NA,3,2016-10-11 15:16:25,30273,795.59
"272",272,"TT_10_1","TT_10_1","TT",10,1,2016-10-11 13:53:15,26816,1154.18
"273",273,"TT_10_2","TT_10_2","TT",10,2,2016-10-11 13:55:42,33396,1071.66
"274",274,"TT_10_3","TT_10_3","TT",10,3,2016-10-11 13:58:14,25532,1122.62
"275",275,"TT_10_4","TT_10_4","TT",10,4,2016-10-11 14:01:18,26594,1144.52
"276",276,"TT_10_5","TT_10_5","TT",10,5,2016-10-11 14:03:43,32653,1016.16
"277",277,"TT_30_1","TT_30_1","TT",30,1,2016-10-11 14:52:02,39732,664.67
"278",278,"TT_30_2","TT_30_2","TT",30,2,2016-10-11 14:55:14,41175,653.38
"279",279,"TT_30_3","TT_30_3","TT",30,3,2016-10-11 14:57:40,35510,688.88
"280",280,"TT_30_4","TT_30_4","TT",30,4,2016-10-11 14:59:56,35750,655.92
"281",281,"TT_30_5","TT_30_5","TT",30,5,2016-10-11 15:02:05,32395,654.8
