"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"290","1-17-1","2017-04-25","2017-06-29",0.029,0.03,1,17,1,""
"291","2-17-1","2017-04-25","2017-06-29",0.019,0.02,2,17,1,""
"292","3-17-1","2017-04-28","2017-06-29",NA,NA,3,17,1,""
"293","4-17-1","2017-04-28","2017-06-29",0.134,0.136,4,17,1,"0.5ml"
"294","1-24-1","2017-04-25","2017-06-29",0.015,0.013,1,24,1,""
"295","2-24-1","2017-04-25","2017-06-29",0.014,0.015,2,24,1,""
"296","3-24-1","2017-04-28","2017-06-29",0.019,0.018,3,24,1,""
"297","4-24-1","2017-04-28","2017-06-29",0.02,0.021,4,24,1,""
"298","1-31-1","2017-04-25","2017-06-29",0.036,0.033,1,31,1,""
"299","2-31-1","2017-04-25","2017-06-29",0.041,0.039,2,31,1,""
"300","3-31-1","2017-04-28","2017-06-29",0.029,0.029,3,31,1,""
"301","4-31-1","2017-04-28","2017-06-29",0.016,0.022,4,31,1,""
"302","1-38-1","2017-04-25","2017-06-29",0.028,0.026,1,38,1,""
"303","2-38-1","2017-04-25","2017-06-29",0.021,0.023,2,38,1,""
"304","3-38-1","2017-04-28","2017-06-29",0.018,0.018,3,38,1,""
"305","4-38-1","2017-04-28","2017-06-29",0.024,0.018,4,38,1,""
"306","1-03-2","2017-04-25","2017-06-29",0.036,0.033,1,3,2,""
"307","2-03-2","2017-04-25","2017-06-29",0.048,0.044,2,3,2,""
"308","3-03-2","2017-04-28","2017-06-29",0.042,0.039,3,3,2,""
"309","4-03-2","2017-04-28","2017-06-29",0.047,0.046,4,3,2,""
"310","1-10-2","2017-04-25","2017-06-29",0.017,0.015,1,10,2,""
"311","2-10-2","2017-04-25","2017-06-29",0.013,0.013,2,10,2,""
"312","3-10-2","2017-04-28","2017-06-29",0.039,0.036,3,10,2,""
"313","4-10-2","2017-04-28","2017-06-29",0.017,0.021,4,10,2,""
"314","1-17-2","2017-04-25","2017-06-29",0.014,0.013,1,17,2,""
"315","2-17-2","2017-04-25","2017-06-29",0.014,0.013,2,17,2,""
"316","3-17-2","2017-04-28","2017-06-29",0.007,0.007,3,17,2,""
"317","4-17-2","2017-04-28","2017-06-29",0.014,0.013,4,17,2,""
"318","1-24-2","2017-04-25","2017-06-29",0.034,0.038,1,24,2,""
"319","2-24-2","2017-04-25","2017-06-29",0.038,0.04,2,24,2,""
"320","3-24-2","2017-04-28","2017-06-29",0.043,0.042,3,24,2,"0.5ml"
"321","4-24-2","2017-04-28","2017-06-29",0.009,0.013,4,24,2,""
"322","1-31-2","2017-04-25","2017-06-29",0.047,0.047,1,31,2,""
"323","2-31-2","2017-04-25","2017-06-29",0.024,0.028,2,31,2,""
"324","3-31-2","2017-04-28","2017-06-29",0.034,0.034,3,31,2,""
"325","4-31-2","2017-04-28","2017-06-29",0.025,0.026,4,31,2,""
"326","1-38-2","2017-04-25","2017-06-29",0.043,0.043,1,38,2,""
"327","2-38-2","2017-04-25","2017-06-29",0.025,0.026,2,38,2,""
"328","3-38-2","2017-04-28","2017-06-29",0.037,0.039,3,38,2,""
"329","4-38-2","2017-04-28","2017-06-29",0.064,0.064,4,38,2,""
"330","1-03-3","2017-04-25","2017-06-29",0.04,0.044,1,3,3,""
"331","2-03-3","2017-04-25","2017-06-29",0.069,0.069,2,3,3,""
"332","3-03-3","2017-04-28","2017-06-29",0.038,0.034,3,3,3,""
"333","4-03-3","2017-04-28","2017-06-29",0,0,4,3,3,""
"334","1-10-3","2017-04-25","2017-06-29",0.01,0.011,1,10,3,""
